,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
9247,Travel Boutique ...,4.0,(49 Reviews),"Gurgaon/Gurugram,Haryana + 4 more",16 years old,201-500 Employees (Global),
9248,Bray Controls,3.5,(49 Reviews),Private,Houston + 3 more,36 years old,51-200 Employees (India)
9249,News Nation,4.0,(49 Reviews),Private,Noida + 3 more,9 years old,201-500 Employees (India)
9250,Deccan Chronicle...,3.6,(49 Reviews),Public,Secunderabad + 10 more,92 years old,201-500 Employees (India)
9251,Dynamic Transmis...,3.4,(49 Reviews),Rohtak + 2 more,26 years old,51-200 Employees (India),
9252,Lal Baba Seamles...,3.7,(49 Reviews),"Kolkata,West Bengal + 2 more",16 years old,51-200 Employees (India),
9253,Lumax Mannoh All...,4.1,(49 Reviews),Private,Gurugram + 3 more,9 years old,51-200 Employees (India)
9254,Ansal Api,3.9,(49 Reviews),Private,New Delhi + 9 more,55 years old,1k-5k Employees (Global)
9255,Emiza Supply Cha...,3.7,(49 Reviews),Private,Mumbai + 10 more,7 years old,201-500 Employees (India)
9256,Alexis Multispec...,4.2,(49 Reviews),Nagpur,12 years old,201-500 Employees (India),
9257,Magna Steyr,4.6,(49 Reviews),Private,"Aurora,Ontario",65 years old,51-200 Employees (India)
9258,ESI Hospital,4.0,(49 Reviews),New Delhi + 16 more,,,
9259,Lynk,3.7,(49 Reviews),Private,"Chennai,Tamil Nadu + 7 more",7 years old,51-200 Employees (India)
9260,Akshar Elecinfra,4.3,(49 Reviews),Private,Vadodara + 4 more,36 years old,501-1k Employees (Global)
9261,NSH Nasser Saeed...,4.0,(49 Reviews),Doha + 13 more,44 years old,1k-5k Employees (Global),
9262,SOGEFI ENGINE SY...,3.3,(49 Reviews),Gurgaon/Gurugram + 1 more,,,
9263,Syniti,4.3,(49 Reviews),"Needham,MA + 12 more",26 years old,,
9264,Ministry Of Educ...,4.7,(49 Reviews),Malé + 3 more,,,
9265,Avant Finwise,4.8,(49 Reviews),Mumbai + 4 more,201-500 Employees (India),,
9266,Mahendra Skills ...,3.2,(49 Reviews),Lucknow + 14 more,7 years old,,
9267,Texas Review,4.1,(49 Reviews),Private,Hyderabad + 4 more,8 years old,201-500 Employees (Global)
9268,Delval Flow Cont...,4.5,(49 Reviews),Private,Louisiana + 6 more,17 years old,201-500 Employees (India)
9269,MPTA Education,4.2,(49 Reviews),Public,"Pune,Maharashtra + 10 more",17 years old,51-200 Employees (India)
9270,Gadre Marine Exp...,3.8,(49 Reviews),Ratnagiri + 5 more,44 years old,1k-5k Employees (India),
9271,Amrit Feeds,4.1,(49 Reviews),Private,Gurugram + 13 more,201-500 Employees (Global),
9272,Global Shiksha,3.7,(49 Reviews),Private,Bengaluru + 3 more,11 years old,51-200 Employees (India)
9273,Fibcom India,3.1,(49 Reviews),Private,Noida + 4 more,28 years old,51-200 Employees (India)
9274,Rage Frameworks,3.4,(49 Reviews),Private,"Dedham,Massachusetts",15 years old,51-200 Employees (India)
9275,The Maharaja Say...,4.7,(49 Reviews),Private,Vadodara,73 years old,1k-5k Employees (India)
9276,ICRI,4.1,(49 Reviews),Private,New Delhi + 6 more,18 years old,201-500 Employees (India)
9277,Addison,4.0,(49 Reviews),Private,New York + 8 more,60 years old,501-1k Employees (India)
9278,Emxcel Travel So...,3.4,(49 Reviews),Private,"Ahmedabad,Gujarat + 8 more",6 years old,51-200 Employees (India)
9279,Yashaswi Academy...,3.6,(49 Reviews),Private,Pune + 18 more,38 years old,501-1k Employees (India)
9280,Foundation Brake...,4.3,(49 Reviews),Jalgaon + 9 more,51-200 Employees (India),,
9281,Radiant Hitech E...,4.2,(49 Reviews),Private,Vadodara + 1 more,43 years old,
9282,Sandip Universit...,4.2,(49 Reviews),Nashik + 9 more,6 years old,1k-5k Employees (Global),
9283,Firstsource Labo...,4.1,(49 Reviews),Hyderabad + 11 more,11 years old,51-200 Employees (India),
9284,GMC Nagpur,3.8,(49 Reviews),Private,Nagpur + 14 more,75 years old,
9285,Nxtgen Datacente...,3.8,(49 Reviews),Private,"Bangalore,Karnataka + 4 more",10 years old,201-500 Employees (India)
9286,Vserv Business S...,3.8,(49 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",12 years old,201-500 Employees (India)
9287,Pentair Water In...,3.8,(49 Reviews),Private,London + 5 more,56 years old,201-500 Employees (India)
9288,Mallcom,3.6,(49 Reviews),Public,"Kolkata,West Bengal + 3 more",39 years old,1k-5k Employees (India)
9289,Uniworld Logisti...,3.9,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",20 years old,201-500 Employees (India)
9290,SPEC INDIA,4.5,(49 Reviews),Private,"Ahmedabad,Gujarat + 1 more",35 years old,201-500 Employees (India)
9291,Think Future Tec...,3.9,(49 Reviews),Private,Gurgaon/Gurugram + 1 more,16 years old,201-500 Employees (India)
9292,Mangalam Informa...,3.7,(49 Reviews),Private,"Ahmedabad,Gujarat + 3 more",22 years old,201-500 Employees (India)
9293,Model N,4.5,(49 Reviews),Private,San Mateo,23 years old,501-1k Employees (India)
9294,Daimler,3.9,(49 Reviews),Private,Stuttgart + 7 more,136 years old,501-1k Employees (India)
9295,Srinivasa Farms,4.1,(49 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",57 years old,501-1k Employees (India)
9296,National Rural L...,3.9,(49 Reviews),New Delhi + 20 more,11 years old,51-200 Employees (India),
9297,Defsys Solutions,3.3,(49 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",15 years old,51-200 Employees (India)
9298,ASSA ABLOY,4.1,(49 Reviews),"Stockholm,Stockholm County + 12 more",17 years old,51-200 Employees (India),
9299,Tarento Technolo...,4.3,(49 Reviews),Private,Stockholm + 1 more,13 years old,201-500 Employees (India)
9300,Ascentrik Resear...,1.7,(49 Reviews),Private,"Mumbai,Maharashtra + 2 more",12 years old,201-500 Employees (India)
9301,ARCTERN CONSULTI...,2.8,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",18 years old,201-500 Employees (India)
9302,Neudesic Technol...,4.2,(49 Reviews),Private,"Irvine,California + 3 more",20 years old,201-500 Employees (India)
9303,Gauhati High Cou...,4.4,(48 Reviews),Public,Guwahati + 2 more,75 years old,
9304,Solas Marine Ser...,3.7,(48 Reviews),Private,Dubai + 7 more,34 years old,501-1k Employees (Global)
9305,Continental Carb...,3.9,(48 Reviews),Private,Ghaziabad + 1 more,22 years old,201-500 Employees (India)
9306,Shine,3.2,(48 Reviews),Private,Gurgaon + 15 more,14 years old,1k-5k Employees (Global)
9307,Northern Railway...,3.9,(48 Reviews),Public,New Delhi + 15 more,70 years old,10k-50k Employees (Global)
9308,Acelerar Technol...,4.5,(48 Reviews),Private,"Noida,Uttar Pradesh",12 years old,11-50 Employees (Global)
9309,Mahatma Gandhi U...,4.0,(48 Reviews),Private,Kottayam + 14 more,39 years old,501-1k Employees (India)
9310,Canam Consultant...,3.8,(48 Reviews),Private,Chandigarh + 12 more,26 years old,51-200 Employees (India)
9311,Emtec,4.0,(48 Reviews),Private,"Jacksonville,Florida + 1 more",27 years old,51-200 Employees (India)
9312,Comodo,3.6,(48 Reviews),Private,"Clifton,NJ",24 years old,201-500 Employees (India)
9313,Stanley Lifestyl...,3.9,(48 Reviews),Public,Bengaluru + 2 more,26 years old,501-1k Employees (India)
9314,IIT Guwahati,4.3,(48 Reviews),Private,Guwahati + 6 more,28 years old,501-1k Employees (India)
9315,Karunya Universi...,3.8,(48 Reviews),Private,"Coimbatore,Tamil Nadu",36 years old,1k-5k Employees (India)
9316,St. Joseph's Col...,3.4,(48 Reviews),Private,Bengaluru + 16 more,140 years old,51-200 Employees (India)
9317,C.M. Smith & Son...,3.2,(48 Reviews),Private,Nadiad,79 years old,201-500 Employees (India)
9318,Antares Systems,3.9,(48 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 8 more",25 years old,201-500 Employees (India)
9319,Getronics,4.3,(48 Reviews),Private,"Amsterdam,North Holland + 6 more",135 years old,201-500 Employees (India)
9320,Brahmayya,3.9,(48 Reviews),Private,Chennai + 7 more,90 years old,51-200 Employees (India)
9321,Arrow,4.4,(48 Reviews),Private,Downers Grove + 19 more,75 years old,501-1k Employees (India)
9322,Pravin Masalewal...,4.1,(48 Reviews),Private,Pune + 11 more,60 years old,501-1k Employees (India)
9323,Handiman Service...,3.8,(48 Reviews),"Bangalore/Bengaluru,Karnataka + 1 more",24 years old,51-200 Employees (India),
9324,Maihar Cement,4.7,(48 Reviews),Public,Mumbai + 7 more,48 years old,10k+ Employees (Global)
9325,Jayoti Vidyapeet...,2.6,(48 Reviews),Private,"Jaipur,Rajasthan + 2 more",14 years old,501-1k Employees (Global)
9326,Karmaa Solutions,4.3,(48 Reviews),Private,Vadodara + 9 more,11 years old,11-50 Employees (India)
9327,Born Group,3.9,(48 Reviews),Private,New York + 4 more,501-1k Employees (Global),
9328,Jindal Pipes,4.1,(48 Reviews),Gurugram + 7 more,52 years old,1k-5k Employees (India),
9329,Metro Infrasys,4.3,(48 Reviews),New Delhi + 4 more,24 years old,201-500 Employees (Global),
9330,Dran Engineers,2.7,(48 Reviews),Private,Pune,40 years old,51-200 Employees (India)
9331,Tekskills,3.8,(48 Reviews),Private,Princeton + 5 more,17 years old,51-200 Employees (India)
9332,Grey Matter Indi...,2.8,(48 Reviews),Private,Hyderabad + 15 more,9 years old,11-50 Employees (Global)
9333,SquadStack,4.3,(48 Reviews),Delhi + 7 more,8 years old,11-50 Employees (India),
9334,Junglee Games,4.1,(48 Reviews),Private,"Delhi,NCT + 2 more",10 years old,201-500 Employees (India)
9335,Pulse Solutions,4.1,(48 Reviews),Private,Mumbai + 4 more,25 years old,51-200 Employees (India)
9336,Focus Academy fo...,3.5,(48 Reviews),Private,Coimbatore + 5 more,14 years old,501-1k Employees (Global)
9337,Snap Fitness,3.2,(48 Reviews),Private,Chanhassen + 6 more,19 years old,51-200 Employees (India)
9338,Access Infotech,3.6,(48 Reviews),Private,Chandigarh + 9 more,27 years old,51-200 Employees (India)
9339,Hitachi Solution...,4.3,(48 Reviews),"Chiyoda City,Tokyo + 6 more",9 years old,501-1k Employees (India),
9340,Zifo RnD Solutio...,4.3,(48 Reviews),Private,"Chennai,Tamil Nadu",14 years old,201-500 Employees (India)
9341,Premier,4.4,(48 Reviews),Public,"San Francisco,California + 11 more",78 years old,201-500 Employees (India)
9342,Interactive Aven...,4.1,(48 Reviews),Private,Mumbai + 4 more,16 years old,501-1k Employees (India)
9343,ICDS,4.2,(48 Reviews),Public,New Delhi + 26 more,47 years old,51-200 Employees (India)
9344,SK Wheels,4.0,(48 Reviews),Navi Mumbai + 2 more,16 years old,501-1k Employees (India),
9345,West Coast Froze...,3.6,(48 Reviews),Private,Mumbai + 5 more,25 years old,201-500 Employees (India)
9346,Ambrane India,3.8,(48 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",10 years old,201-500 Employees (India)
9347,UMW DONGSHIN MOT...,3.8,(48 Reviews),Private,Pune,15 years old,
9348,Bitla Software,4.0,(48 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",15 years old,201-500 Employees (India)
9349,Lotus Dairy Prod...,4.2,(48 Reviews),Jaipur + 1 more,21 years old,51-200 Employees (India),
9350,CL MICROMED,3.4,(48 Reviews),New Delhi + 7 more,35 years old,,
9351,RSP Design Consu...,3.6,(48 Reviews),Private,Bengaluru + 6 more,26 years old,51-200 Employees (India)
9352,Vanasthali Publi...,3.0,(48 Reviews),"Ghaziabad,Uttar Pradesh + 6 more",44 years old,,
9353,UNIMARCK PHARMA,3.6,(48 Reviews),Mohali + 8 more,38 years old,201-500 Employees (India),
9354,China Petroleum ...,4.0,(48 Reviews),Public,"Beijing,Beijing + 5 more",42 years old,10k-50k Employees (Global)
9355,Structwel,4.1,(48 Reviews),Private,Navi Mumbai + 6 more,55 years old,201-500 Employees (India)
9356,Sigma Corporatio...,3.8,(48 Reviews),Private,New Delhi + 5 more,58 years old,201-500 Employees (India)
9357,Autoprint Machin...,3.9,(48 Reviews),"Coimbatore,Tamil Nadu + 5 more",30 years old,51-200 Employees (India),
9358,Belectric Photov...,3.8,(48 Reviews),Kolitzheim + 4 more,21 years old,11-50 Employees (India),
9359,Galaxy Group,4.2,(48 Reviews),Noida + 9 more,14 years old,11-50 Employees (India),
9360,SUNDIRECT,4.0,(48 Reviews),Chennai + 10 more,15 years old,,
9361,SPS Apollo Hospi...,4.6,(48 Reviews),Ludhiana + 4 more,17 years old,,
9362,Narayan Seva San...,4.0,(48 Reviews),NGO/NPO,Udaipur + 4 more,37 years old,51-200 Employees (India)
9363,Sterling Auxilia...,3.6,(48 Reviews),Mumbai + 4 more,38 years old,51-200 Employees (India),
9364,TrueTech Solutio...,3.9,(48 Reviews),Chennai,14 years old,51-200 Employees (India),
9365,Open Access Tech...,4.0,(48 Reviews),Private,"Minneapolis,Minnesota + 1 more",27 years old,501-1k Employees (India)
9366,Advanced Busines...,3.9,(48 Reviews),Private,"Datchet,Berkshire + 2 more",21 years old,11-50 Employees (India)
9367,Axtel Industries,4.6,(48 Reviews),Public,"Vadodara/Baroda,Gujrat + 1 more",31 years old,51-200 Employees (India)
9368,Hospital Consult...,4.3,(48 Reviews),Private,"Burton,MI + 23 more",11-50 Employees (Global),
9369,Eastman Cast & F...,3.5,(48 Reviews),Public,"Ludhiana,Punjab + 4 more",33 years old,51-200 Employees (India)
9370,Ultra Media and ...,3.0,(48 Reviews),Private,"Mumbai,Maharashtra + 3 more",65 years old,201-500 Employees (India)
9371,Avadh Utopia,4.6,(48 Reviews),Public,Surat + 2 more,9 years old,501-1k Employees (Global)
9372,Square Capital A...,3.2,(48 Reviews),Private,Gurgaon + 10 more,8 years old,
9373,Sterlite Power G...,3.5,(48 Reviews),Private,"Delhi,NCT + 10 more",12 years old,1k-5k Employees (Global)
9374,Burman Hospitali...,3.7,(48 Reviews),Private,"Delhi/NCR,New Delhi + 6 more",8 years old,201-500 Employees (India)
9375,Appsquadz Softwa...,3.6,(48 Reviews),Private,"Noida,Uttar Pradesh",8 years old,51-200 Employees (India)
9376,Oxalis Pharmaceu...,4.1,(48 Reviews),Private,Pune + 2 more,10 years old,
9377,India Pesticides,4.3,(48 Reviews),Private,Bareilly + 7 more,38 years old,501-1k Employees (India)
9378,Robinsons Cargo ...,4.1,(48 Reviews),"Mumbai,Maharashtra + 10 more",68 years old,501-1k Employees (India),
9379,Medecins Sans Fr...,4.7,(48 Reviews),Private,Geneva + 8 more,51 years old,51-200 Employees (India)
9380,APPL Industries,3.8,(48 Reviews),Public,Pune + 7 more,31 years old,201-500 Employees (India)
9381,Franklin Templet...,4.4,(48 Reviews),San Mateo + 11 more,75 years old,1k-5k Employees (India),
9382,Thinq Pharma Cro,4.1,(48 Reviews),Public,"Mumbai,Maharashtra + 7 more",20 years old,51-200 Employees (India)
9383,Hayat Communicat...,3.4,(48 Reviews),Safat + 10 more,27 years old,51-200 Employees (India),
9384,Santa Monica Stu...,3.4,(48 Reviews),"Ernakulam,Kerala + 11 more",20 years old,201-500 Employees (Global),
9385,BEC Chemicals,3.9,(48 Reviews),Private,Mumbai + 4 more,43 years old,51-200 Employees (India)
9386,Hindustan Paper ...,3.9,(48 Reviews),Private,Kolkata + 1 more,52 years old,1k-5k Employees (Global)
9387,Great White Glob...,4.0,(48 Reviews),Private,Mumbai + 10 more,59 years old,201-500 Employees (India)
9388,Azuga Telematics,3.6,(48 Reviews),Private,"San Jose,California",10 years old,51-200 Employees (India)
9389,Hitachi Solution...,4.3,(48 Reviews),"Chiyoda City,Tokyo + 6 more",9 years old,501-1k Employees (India),
9390,Emtec,4.0,(48 Reviews),Private,"Jacksonville,Florida + 1 more",27 years old,51-200 Employees (India)
9391,Premier,4.4,(48 Reviews),Public,"San Francisco,California + 11 more",78 years old,201-500 Employees (India)
9392,Aerial Services,3.4,(48 Reviews),Cedar Falls + 18 more,55 years old,11-50 Employees (India),
9393,Sterling Generat...,4.4,(48 Reviews),Mumbai + 9 more,27 years old,1k-5k Employees (India),
9394,Modern Informati...,3.4,(48 Reviews),Private,"Navi Mumbai,Maharashtra + 7 more",11 years old,201-500 Employees (India)
9395,A.W. Faber-Caste...,3.8,(48 Reviews),Private,Stein + 10 more,261 years old,51-200 Employees (India)
9396,Lotus Valley Int...,3.4,(48 Reviews),Private,"Noida,Uttar Pradesh + 5 more",18 years old,201-500 Employees (Global)
9397,Magnum Mi Steel,3.6,(48 Reviews),Bawal + 3 more,20 years old,51-200 Employees (India),
9398,UMW DONGSHIN MOT...,3.8,(48 Reviews),Private,Pune,15 years old,
9399,UNIMARCK PHARMA,3.6,(48 Reviews),Mohali + 8 more,38 years old,201-500 Employees (India),
9400,Aditya Enterpris...,4.4,(48 Reviews),Mumbai + 16 more,32 years old,51-200 Employees (Global),
9401,Konkan Railway C...,4.1,(48 Reviews),Private,Navi Mumbai + 9 more,51 years old,5k-10k Employees (Global)
9402,Lotus Dairy Prod...,4.2,(48 Reviews),Jaipur + 1 more,21 years old,51-200 Employees (India),
9403,China Petroleum ...,4.0,(48 Reviews),Public,"Beijing,Beijing + 5 more",42 years old,10k-50k Employees (Global)
9404,Gina Engineering...,3.8,(48 Reviews),"Bangalore/Bengaluru,Karnataka + 4 more",58 years old,201-500 Employees (India),
9405,Rapid Metro Rail...,4.0,(48 Reviews),Public,Gurgaon,13 years old,201-500 Employees (Global)
9406,Arabian Fal Hold...,3.2,(48 Reviews),Private,Dammam + 5 more,43 years old,5k-10k Employees (Global)
9407,Jvl Agro Industr...,3.4,(48 Reviews),Public,"Varanasi/Benaras,Uttar Pradesh + 1 more",33 years old,501-1k Employees (Global)
9408,India Pesticides,4.3,(48 Reviews),Private,Bareilly + 7 more,38 years old,501-1k Employees (India)
9409,Chopra Industrie...,3.1,(48 Reviews),Private,Ludhiana + 11 more,501-1k Employees (Global),
9410,SGD PHARMA,4.3,(48 Reviews),Private,"Puteaux,Haut De Seine + 1 more",126 years old,51-200 Employees (India)
9411,Kothari Medical ...,3.7,(48 Reviews),Private,Kolkata + 3 more,51 years old,201-500 Employees (India)
9412,Nabard Consultan...,4.1,(48 Reviews),Private,New Delhi + 14 more,19 years old,51-200 Employees (Global)
9413,Arth Design Buil...,3.9,(48 Reviews),Private,"Singapore,Singapore",8 years old,51-200 Employees (India)
9414,Singh & Associat...,3.2,(48 Reviews),Private,"Delhi/NCR,Delhi + 11 more",20 years old,201-500 Employees (India)
9415,Tax Consultants,4.1,(48 Reviews),Private,Fairfield + 27 more,11-50 Employees (Global),
9416,Vmak Research & ...,3.9,(48 Reviews),Private,"Noida,Uttar Pradesh + 1 more",14 years old,51-200 Employees (India)
9417,Sun Mobility,3.9,(48 Reviews),"Bangalore,Karnataka + 3 more",5 years old,11-50 Employees (India),
9418,6Sense,5.0,(48 Reviews),"San Francisco,California",9 years old,51-200 Employees (India),
9419,Sterling Generat...,4.4,(48 Reviews),Mumbai + 9 more,27 years old,1k-5k Employees (India),
9420,Modern Informati...,3.4,(48 Reviews),Private,"Navi Mumbai,Maharashtra + 7 more",11 years old,201-500 Employees (India)
9421,A.W. Faber-Caste...,3.8,(48 Reviews),Private,Stein + 10 more,261 years old,51-200 Employees (India)
9422,Lotus Valley Int...,3.4,(48 Reviews),Private,"Noida,Uttar Pradesh + 5 more",18 years old,201-500 Employees (Global)
9423,Continental Tyre...,3.9,(48 Reviews),Private,Bhopal + 10 more,30 years old,
9424,Creative Textile...,4.1,(48 Reviews),Private,Mumbai + 4 more,17 years old,1k-5k Employees (India)
9425,Pervacio,3.0,(48 Reviews),Private,"Irving,Texas + 1 more",18 years old,51-200 Employees (India)
9426,Business Standar...,3.7,(48 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",47 years old,501-1k Employees (India)
9427,Sree Metaliks,4.2,(48 Reviews),Public,Kolkata + 5 more,27 years old,51-200 Employees (India)
9428,Crystal Voxx,3.6,(48 Reviews),LLP,Larenceville + 1 more,30 years old,51-200 Employees (India)
9429,Truetzschler Ind...,4.4,(48 Reviews),Mönchengladbach + 3 more,134 years old,11-50 Employees (India),
